2024-08-07 11:14:05 [scrapy.utils.log] INFO: Scrapy 2.11.2 started (bot: spiders)
2024-08-07 11:14:05 [scrapy.utils.log] INFO: Versions: lxml 4.8.0.0, libxml2 2.9.13, cssselect 1.2.0, parsel 1.9.1, w3lib 2.2.1, Twisted 24.3.0, Python 3.10.12 (main, Mar 22 2024, 16:50:05) [GCC 11.4.0], pyOpenSSL 24.2.1 (OpenSSL 3.3.1 4 Jun 2024), cryptography 43.0.0, Platform Linux-5.15.0-116-generic-x86_64-with-glibc2.35
2024-08-07 11:14:05 [scrapy.addons] INFO: Enabled addons:
[]
2024-08-07 11:14:05 [asyncio] DEBUG: Using selector: EpollSelector
2024-08-07 11:14:05 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.asyncioreactor.AsyncioSelectorReactor
2024-08-07 11:14:05 [scrapy.utils.log] DEBUG: Using asyncio event loop: asyncio.unix_events._UnixSelectorEventLoop
2024-08-07 11:14:05 [scrapy.extensions.telnet] INFO: Telnet Password: 2b8381bccd22b09c
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.feedexport.FeedExporter',
 'scrapy.extensions.logstats.LogStats']
2024-08-07 11:14:05 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'spiders',
 'FEED_EXPORT_ENCODING': 'utf-8',
 'FEED_EXPORT_FIELDS': ['URL страницы',
                        'Заголовок',
                        'Артикул/SKU',
                        'Цена',
                        'Наличие',
                        'Вес',
                        'Картинки',
                        'Категории'],
 'LOG_FILE': 'files/temp/scrapy_output_1.log',
 'NEWSPIDER_MODULE': 'spiders.spiders',
 'REQUEST_FINGERPRINTER_IMPLEMENTATION': '2.7',
 'ROBOTSTXT_OBEY': True,
 'SPIDER_MODULES': ['spiders.spiders'],
 'TWISTED_REACTOR': 'twisted.internet.asyncioreactor.AsyncioSelectorReactor'}
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2024-08-07 11:14:05 [scrapy.core.engine] INFO: Spider opened
2024-08-07 11:14:05 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 595 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 605 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 615 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 625 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 635 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 645 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 664 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 673 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 686 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 702 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 717 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 732 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 747 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 762 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 781 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 786 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 800 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 809 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 822 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 838 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 853 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 868 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 887 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 892 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 906 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 915 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 928 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 944 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 959 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 974 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 989 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1004 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1023 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1028 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1042 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1051 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1064 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1080 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1095 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1110 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1125 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1144 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1149 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1163 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1172 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1185 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1201 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1216 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1231 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1246 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1265 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1270 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1284 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1293 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1306 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1322 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1337 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1352 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1367 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1382 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1397 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1412 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1427 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1446 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1451 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1476 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1563 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1575 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1583 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1595 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1603 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1615 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1623 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1635 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1643 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1655 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1663 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1675 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1695 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1737 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1756 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1775 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1794 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1814 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1860 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1864 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1892 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1900 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1908 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1916 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1945 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 1975 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2035 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2054 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2113 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2130 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2131 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2132 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2133 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2134 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2135 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2136 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2137 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2138 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2139 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2140 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2148 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2153 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2154 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 2159 without any user agent to enforce it on.
2024-08-07 11:14:05 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1> (referer: None)
2024-08-07 11:14:05 [scrapy.core.scraper] ERROR: Spider error processing <GET https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1> (referer: None)
Traceback (most recent call last):
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/utils/defer.py", line 279, in iter_errback
    yield next(it)
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/utils/python.py", line 350, in __next__
    return next(self.data)
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/utils/python.py", line 350, in __next__
    return next(self.data)
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/core/spidermw.py", line 106, in process_sync
    for r in iterable:
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/spidermiddlewares/referer.py", line 352, in <genexpr>
    return (self._set_referer(r, response) for r in result or ())
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/core/spidermw.py", line 106, in process_sync
    for r in iterable:
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/spidermiddlewares/urllength.py", line 27, in <genexpr>
    return (r for r in result or () if self._filter(r, spider))
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/core/spidermw.py", line 106, in process_sync
    for r in iterable:
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/spidermiddlewares/depth.py", line 31, in <genexpr>
    return (r for r in result or () if self._filter(r, response, spider))
  File "/home/sentinel/.local/lib/python3.10/site-packages/scrapy/core/spidermw.py", line 106, in process_sync
    for r in iterable:
  File "/home/sentinel/Документы/CODE/PARSERs/test_004.2/spiders/spiders/spiders/SimpleSpiderV3_2.py", line 59, in parse
    while self.page_counter < self.maxpage[0]:
TypeError: '<' not supported between instances of 'int' and 'str'
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.scraper] DEBUG: Scraped from <200 https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204>
{'URL страницы': 'https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204', 'Заголовок': ['\n                    1-TLG. KUGELHAHN IG-IG Rp1/2" 316Ti RED. DURCHGANG\n                '], 'Артикул/SKU': ['\n                            040030001204\n                        '], 'Цена': ['\n                    Katalogpreis: 14,16\xa0€*\n                '], 'Наличие': ['\n                    Derzeit nicht auf Lager.', '\n                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter\n                '], 'Вес': ['\n            0.43 kg\n        '], 'Картинки': ['https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg', 'https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg'], 'Категории': 'Rohrverbindungen, '}
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-8-1-4-316-316Ti-IG-IG/040030103804014> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-2-316-316Ti/040030101214> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-4-1-2-316-316Ti-IG-IG/040030103404012> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-8-316-316Ti/040030103814> (referer: https://shop.ms-armaturen.de/Rohrverbindungen/?order=m-s-artikelnummer-aufsteigend&p=1)
2024-08-07 11:14:06 [scrapy.core.scraper] DEBUG: Scraped from <200 https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414>
{'URL страницы': 'https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414', 'Заголовок': ['\n                    WINKEL 90 IG-IG Rp1/4" 316/316Ti\n                '], 'Артикул/SKU': ['\n                            040030101414\n                        '], 'Цена': ['\n                    Katalogpreis: 1,46\xa0€*\n                '], 'Наличие': ['\n                    Auf Lager.\n                '], 'Вес': ['\n            0.062 kg\n        '], 'Картинки': ['https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg', 'https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg', 'https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg', 'https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg'], 'Категории': 'Rohrverbindungen, '}
2024-08-07 11:14:06 [scrapy.core.scraper] DEBUG: Scraped from <200 https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814>
{'URL страницы': 'https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814', 'Заголовок': ['\n                    WINKEL 90 IG-IG Rp1/8" 316/316Ti\n                '], 'Артикул/SKU': ['\n                            040030101814\n                        '], 'Цена': ['\n                    Katalogpreis: 1,46\xa0€*\n                '], 'Наличие': ['\n                    Derzeit nicht auf Lager.', '\n                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter\n                '], 'Вес': ['\n            0.04 kg\n        '], 'Картинки': ['https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg', 'https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg', 'https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg', 'https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg'], 'Категории': 'Rohrverbindungen, '}
